"ID"	"smb"	"gen"	"log2"	"pVal"
"395"	8100478	"AASDH"	"aminoadipate-semialdehyde dehydrogenase"	-0.937	3.515
"396"	8101284	"PRKG2"	"protein kinase, cGMP-dependent, type II"	-0.947	3.456
"397"	8103341	"MAP9"	"microtubule associated protein 9"	2.137	3.448
"399"	8103415	"FAM198B"	"family with sequence similarity 198 member B"	-2.09	3.279
"401"	8105121	"GHR"	"growth hormone receptor"	-1.693	3.381
"402"	8106730	"XRCC4"	"X-ray repair cross complementing 4"	-1.237	3.668
"403"	8106978	"RFESD"	"Rieske Fe-S domain containing"	-1.277	3.91
"404"	8108861	"NDFIP1"	"Nedd4 family interacting protein 1"	-0.997	3.362
"405"	8109830	"SPDL1"	"spindle apparatus coiled-coil protein 1"	-0.91	3.411
"406"	8111533	"LMBRD2"	"LMBR1 domain containing 2"	-1.163	3.641
"407"	8111677	"LIFR"	"leukemia inhibitory factor receptor alpha"	-1.96	4.432
"408"	8111788	"TTC33"	"tetratricopeptide repeat domain 33"	-1.29	3.141
"409"	8111952	"TMEM267"	"transmembrane protein 267"	-1.093	4.359
"410"	8112596	"ANKRA2"	"ankyrin repeat family A member 2"	-1.227	4.394
"411"	8113130	"MCTP1"	"multiple C2 and transmembrane domain containing 1"	-2.72	5.482
"413"	8113403	"GIN1"	"gypsy retrotransposon integrase 1"	-1.177	3.267
"415"	8115375	"FAM114A2"	"family with sequence similarity 114 member A2"	-1.003	3.125
"416"	8115666	"NUDCD2"	"NudC domain containing 2"	-1.417	4.166
"417"	8117640	"ZSCAN16"	"zinc finger and SCAN domain containing 16"	1.363	3.372
"420"	8121392	"CEP57L1"	"centrosomal protein 57 like 1"	-0.897	3.147
"421"	8122818	"ARMT1"	"acidic residue methyltransferase 1"	-1.157	3.507
"423"	8124262	"TDP2"	"tyrosyl-DNA phosphodiesterase 2"	-1.71	4.171
"424"	8126279	"TREM2"	"triggering receptor expressed on myeloid cells 2"	-2.333	3.841
"426"	8127534	"MB21D1"	"Mab-21 domain containing 1"	-2.34	3.529
"427"	8127778	"FAM46A"	"family with sequence similarity 46 member A"	-0.743	3.188
"428"	8128356	"FBXL4"	"F-box and leucine rich repeat protein 4"	-0.77	3.193
"430"	8129317	"SERINC1"	"serine incorporator 1"	-0.727	3.225
"431"	8131957	"SNX10"	"sorting nexin 10"	-1.397	3.769
"432"	8132803	"CDC14C"	"cell division cycle 14C, pseuodgene"	0.897	3.452
"433"	8133770	"CCDC146"	"coiled-coil domain containing 146"	-1.617	4.419
"434"	8133860	"GNAI1"	"G protein subunit alpha i1"	-1.043	3.883
"435"	8135625	"CAPZA2"	"capping actin protein of muscle Z-line alpha subunit 2"	-1.19	3.619
"436"	8135688	"LSM8"	"LSM8 homolog, U6 small nuclear RNA associated"	-1.153	3.154
"437"	8135990	"FLNC"	"filamin C"	0.913	3.384
"438"	8136281	"FLJ40288"	"uncharacterized FLJ40288"	0.867	3.177
"439"	8136580	"RAB19"	"RAB19, member RAS oncogene family"	0.807	3.132
"442"	8137874	"CARD11"	"caspase recruitment domain family member 11"	1.323	3.212
"443"	8138689	"SKAP2"	"src kinase associated phosphoprotein 2"	-0.783	3.451
"445"	8139832	"ZNF117"	"zinc finger protein 117"	-1.36	3.428
"446"	8139840	"ERV3-1"	"endogenous retrovirus group 3 member 1"	-1.7	3.575
"448"	8141024	"BET1"	"Bet1 golgi vesicular membrane trafficking protein"	-1.223	3.431
"449"	8141166	"LOC441268"	"uncharacterized LOC441268"	0.923	3.215
"450"	8141311	"FAM200A"	"family with sequence similarity 200 member A"	-1.29	3.788
"451"	8142096	"ATXN7L1"	"ataxin 7 like 1"	-0.93	3.581
"452"	8142098	"ATXN7L1"	"ataxin 7 like 1"	-1.443	4.303
"453"	8142100	"ATXN7L1"	"ataxin 7 like 1"	-1.21	3.783
"454"	8142102	"ATXN7L1"	"ataxin 7 like 1"	-1.117	3.327
"455"	8142646	"IQUB"	"IQ motif and ubiquitin domain containing"	-1.01	3.707
"457"	8146564	"RAB2A"	"RAB2A, member RAS oncogene family"	-1.287	3.321
"458"	8146711	"C8orf44-SGK3///C8orf44"	"C8orf44-SGK3 readthrough///chromosome 8 open reading frame 44"	-1.037	3.281
"460"	8146934	"LY96"	"lymphocyte antigen 96"	-3.403	3.14
"461"	8147019	"ZC2HC1A"	"zinc finger C2HC-type containing 1A"	-1.673	3.453
"462"	8147206	"RIPK2"	"receptor interacting serine/threonine kinase 2"	-1.18	3.518
"463"	8147375	"DPY19L4"	"dpy-19 like 4 (C. elegans)"	-1.407	4.367
"464"	8147439	"PLEKHF2"	"pleckstrin homology and FYVE domain containing 2"	-1.443	3.459
"465"	8147970	"EBAG9"	"estrogen receptor binding site associated, antigen, 9"	-1.21	3.753
"466"	8148000	"AARD"	"alanine and arginine rich domain containing protein"	0.903	3.294
"467"	8148358	"PHF20L1"	"PHD finger protein 20-like 1"	-0.943	3.171
"469"	8150714	"PCMTD1"	"protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"	-2.013	4.055
"471"	8150877	"SNORD54"	"small nucleolar RNA, C/D box 54"	-1.66	3.728
