"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4922",NA,-1.164037501,3.48986066092308,-5.24969112405082,6.42056836315584e-05,0.00674789145617948,1.8733969323895
"1712","Rv0244c",-0.867594951916667,1.20223108523077,-5.20003139214421,7.11697852218108e-05,0.00727763865446887,1.77374484603866
"4099",NA,-1.18240840738889,3.70098221261538,-5.18830553553826,7.292449335052e-05,0.00727763865446887,1.75017324875552
"1684","Rv2468A",-2.05273867327778,3.82670985669231,-5.18570587571895,7.33194939069625e-05,0.00727763865446887,1.74494523192815
"4744",NA,-0.966323807444444,2.02991840684615,-5.06509271420074,9.42811034119189e-05,0.00918812207796155,1.50156019641047
"2974","Rv3620c",-0.763496574,2.37875564076923,-5.05348901564984,9.65978149152087e-05,0.00924579085616998,1.47806164525583
"244","Rv1197",-0.76683803875,2.16985595576923,-5.04300902573888,9.8740288830529e-05,0.00928505172160764,1.45682643411639
"4367",NA,-1.11399533463889,3.90533740038462,-4.9829669695329,0.000111988850812086,0.0103493144888411,1.33494444758554
"3996",NA,-1.11176917838889,2.53007588223077,-4.96042118915789,0.000117422051014624,0.0106674948040404,1.28908239253825
"4022",NA,-1.485307069,4.72960238869231,-4.9403944757344,0.000122474253033943,0.0109410332710323,1.24830181181179
"3232","Rv3847",-0.977868316611111,2.63004941984615,-4.90157386650623,0.000132910542916731,0.011678696885798,1.16913854945443
"5259",NA,-0.849705002444445,2.27696488361538,-4.87668688542701,0.000140075331972038,0.0121097383769374,1.11831225764379
"4706",NA,-2.11736698236111,2.26501155392308,-4.86041953577149,0.00014497086855973,0.0123340294520659,1.08505798290608
"916","Rv1792",-0.748642809555556,2.29679895615385,-4.84815635804308,0.00014877672450486,0.0124133600225568,1.05997281537233
"920","Rv1795",-0.802846330583334,2.11878980584615,-4.84259825413944,0.000150535149527275,0.0124133600225568,1.04859874316917
"1542","Rv2347c",-0.760102521555555,2.29651852538462,-4.82083162205256,0.000157628416449861,0.0127338725813107,1.00402834705009
"2595","Rv3273",-0.969563851694446,2.05589931753846,-4.81622343497252,0.000159173407266384,0.0127338725813107,0.994586874652268
"4663",NA,-1.02425510472222,2.28886898361538,-4.79086110183693,0.000167957803910658,0.0132390268964871,0.94258923226322
"719","Rv0157A",-1.64652807319444,2.19711995107692,-4.73544042890953,0.000188916766986761,0.0146752734934644,0.828770258483201
"804","RVnc0010",-1.04473766883333,4.76516574392308,-4.72026083072975,0.000195110205205319,0.0149398671414358,0.797549908622369
"4264",NA,-0.862272528000001,4.248147828,-4.70516805070937,0.000201473677547359,0.0152098438261104,0.766489200571422
"2485","Rv0313",-0.751280557583333,1.74226646215385,-4.65509969628978,0.000224140249220503,0.0166859963308596,0.663317755485639
"4936",NA,-0.903077786666667,1.10018108553846,-4.6436192282683,0.000229694179657,0.0167867303945261,0.639633224694147
"3388","Rv0451c",-1.49309400552778,1.63883798038462,-4.63212680427609,0.000235394393853167,0.0167867303945261,0.615913934398621
"4330",NA,-1.01125548955556,2.03600994769231,-4.62801290410056,0.000237469728777435,0.0167867303945261,0.607420798692465
"4132",NA,0.848412976138889,1.91881865938462,4.62692666971828,0.000238020804101489,0.0167867303945261,0.605178058353862
"332","Rv0011c",-2.56932827916667,2.12230936176923,-4.60593014250562,0.00024893262297766,0.0171070112820374,0.561809419258246
"4490",NA,-0.626311993944445,3.20384069030769,-4.59745474535646,0.000253480350289989,0.0171070112820374,0.54429417354105
"3599","Rv0634B",-1.37042126108333,2.589970618,-4.58869047634336,0.000258272090305907,0.0171070112820374,0.526176473558874
"5330",NA,-0.592592778194446,2.353628858,-4.5885187458136,0.000258366897164999,0.0171070112820374,0.525821413048278
"3261","Rv3874",-1.09890765725,1.356226109,-4.58824131391019,0.000258520133180043,0.0171070112820374,0.525247805781279
"5336",NA,-2.00667407808333,2.14370630353846,-4.56612058534625,0.000271040844321432,0.0177168161654009,0.47949427919457
"1750","Rv2525c",-1.05899121763889,1.21992961769231,-4.55483951651847,0.000277662020837456,0.0177699929541435,0.456147841960271
"5121",NA,-1.56903419105555,3.13198676553846,-4.5467446379731,0.000282514349074428,0.0177699929541435,0.439389913958593
"71","Rv1038c",-0.716660212694445,2.48054495123077,-4.54282205512717,0.00028489661363059,0.0177699929541435,0.431267824332023
"1173","Rv0197",-0.662167104611111,0.837923579384615,-4.54246322094813,0.0002851155585926,0.0177699929541435,0.430524771315786
"4712",NA,-0.962815638805556,2.66582883623077,-4.53694627096755,0.000288503387992035,0.0177744616050265,0.419099500567158
"4275",NA,-0.790206946166667,1.84728968115385,-4.50573438294483,0.000308455894712443,0.0187877681324852,0.354423660316909
"2089","Rv2830c",-0.886984155361111,1.60473822553846,-4.4890934074108,0.000319661624772598,0.0192515315593385,0.319915338092319
"3048","Rvnt40",3.13438380422222,4.32773623030769,4.48077149315094,0.000325419779339888,0.0193805557473533,0.302651712068111
"1613","Rv0236A",-1.40178608508333,3.62784155107692,-4.45333805607973,0.000345158990383268,0.0203302438291683,0.245711768955016
"1923","Rv2678c",0.815337697666666,1.59338416192308,4.41371945885216,0.000375833864500194,0.0218791085341016,0.1634030765709
"4062",NA,-0.63851161525,2.46337027938462,-4.40502594120176,0.000382927126887157,0.0218791085341016,0.145330323673989
"3616","Rv0649",-0.799155002722222,2.54263655976923,-4.40408764761689,0.000383700783993572,0.0218791085341016,0.143379481856655
"3354","Rv0420c",-1.05419947805556,1.54951191361538,-4.35698401343909,0.000424648972916692,0.0239591420508786,0.045385422876282
"1213","Rv2058c",0.830584649444444,1.74451707892308,4.3284028638972,0.000451628662314357,0.0251369691320451,-0.0141281575959127
"1889","Rvnt34",4.25184316563889,4.77234255030769,4.32505142132909,0.000454904105561263,0.0251369691320451,-0.0211092533556441
"1814","Rv2581c",-0.726084286694444,2.08475866430769,-4.31460011091989,0.000465273832523137,0.0253016604739002,-0.042882715740503
"4388",NA,-0.838228392666666,3.45540696684615,-4.31256034559467,0.000467325445320172,0.0253016604739002,-0.0471327746370944
"4079",NA,-1.31979922202778,2.59667635453846,-4.30229447990837,0.000477790937507402,0.0256095942503968,-0.0685255123264374
"3784","Rv0801",-0.585305528305556,1.55156551515385,-4.28716862508964,0.000493645212465745,0.0261974092952118,-0.100054035354519
"5288",NA,-1.19209000852778,4.10989104492308,-4.26503656118208,0.00051780856505527,0.0272103324381985,-0.146203246989631
